,Date,Open,High,Low,Close,Volume,MktCap
375,"Dec 28, 2018","3,653.13","3,956.14","3,642.63","3,923.92",56315543486,8471837969
376,"Dec 27, 2018","3,854.69","3,874.42","3,645.45","3,654.83",51302223666,3768757101
377,"Dec 26, 2018","3,819.67","3,893.36","3,769.86","3,857.30",53265479186,7292819465
378,"Dec 25, 2018","4,081.03","4,089.56","3,760.02","3,815.49",61582072936,6556033172
379,"Dec 24, 2018","4,000.33","4,271.79","4,000.33","4,078.60",72409685017,1137548589
380,"Dec 23, 2018","4,020.99","4,085.72","3,976.41","3,998.98",61512754906,9741217417
381,"Dec 22, 2018","3,898.08","4,014.18","3,855.74","4,014.18",56058232336,9997508295
382,"Dec 21, 2018","4,133.70","4,198.43","3,850.95","3,896.54",72060157066,7937650255
383,"Dec 20, 2018","3,742.20","4,191.23","3,728.97","4,134.44",89271292797,2078243771
384,"Dec 19, 2018","3,706.82","3,949.32","3,687.23","3,745.95",68106891196,5299132785
385,"Dec 18, 2018","3,544.76","3,701.35","3,487.17","3,696.06",59113254736,4422587801
386,"Dec 17, 2018","3,253.12","3,597.92","3,253.12","3,545.86",54092479186,1798926687
